('Total Revenue', '416,161,000', '416,161,000', '391,035,000', '383,285,000', '394,328,000')
         994897 function calls (970974 primitive calls) in 2.566 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1543    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
     1527    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     1481    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1481    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1340    0.001    0.000    0.002    0.000 filter.py:629(_match_attribute_value_helper)
     1237    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
     1237    0.004    0.000    0.004    0.000 {built-in method posix.stat}
     1176    0.000    0.000    0.000    0.000 typing.py:1437(__eq__)
 1145/199    0.007    0.000    0.063    0.000 _parser.py:451(_parse_sub)
     1067    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
     1036    0.000    0.000    0.001    0.000 _parser.py:171(__setitem__)
     1015    0.001    0.000    0.001    0.000 _parser.py:311(_class_escape)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      944    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      934    0.002    0.000    0.005    0.000 {method 'sub' of 're.Pattern' objects}
      870    0.000    0.000    0.001    0.000 enum.py:1587(_get_value)
      867    0.000    0.000    0.001    0.000 {built-in method fromkeys}
      860    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      860    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      843    0.000    0.000    0.000    0.000 typing.py:1427(<genexpr>)
  802/796    0.008    0.000    0.058    0.000 {built-in method builtins.__build_class__}
      785    0.000    0.000    0.000    0.000 _parser.py:82(groups)
      785    0.000    0.000    0.000    0.000 element.py:2355(get)
      768    0.001    0.000    0.001    0.000 _parser.py:371(_escape)
      761    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      759    0.000    0.000    0.001    0.000 _parser.py:448(_uniq)
      739    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      735    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
      730    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      716    0.000    0.000    0.001    0.000 _compiler.py:401(_simple)
      708    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
      701    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      699    0.001    0.000    0.001    0.000 _compiler.py:214(_compile_charset)
      699    0.005    0.000    0.007    0.000 _compiler.py:241(_optimize_charset)
      697    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
      697    0.001    0.000    0.003    0.000 filter.py:618(_attribute_match)
      690    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      682    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
      664    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      633    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
      629    0.000    0.000    0.001    0.000 _synchronization.py:243(__enter__)
      629    0.000    0.000    0.001    0.000 _synchronization.py:247(__exit__)
      619    0.001    0.000    0.001    0.000 enum.py:827(__setattr__)
      614    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
      608    0.000    0.000    0.000    0.000 _exceptions.py:7(map_exceptions)
   603/14    0.002    0.000    0.277    0.020 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      601    0.000    0.000    0.000    0.000 ssl.py:1117(_checkClosed)
      583    0.000    0.000    0.001    0.000 typing.py:164(_type_convert)
      582    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      582    0.003    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
      580    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
      580    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
  539/332    0.000    0.000    0.000    0.000 typing.py:1443(__hash__)
      538    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      521    0.001    0.000    0.003    0.000 typing.py:173(_type_check)
      504    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      497    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      496    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
      490    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      484    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      481    0.000    0.000    0.000    0.000 typing.py:1096(__eq__)
      479    0.000    0.000    0.001    0.000 enum.py:37(_is_descriptor)
      472    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
      472    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
      467    0.000    0.000    0.001    0.000 typing.py:1358(__getattr__)
      466    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      460    0.000    0.000    0.000    0.000 enum.py:1215(__init__)
      454    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
      421    0.000    0.000    0.000    0.000 _parser.py:264(getwhile)
      398    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
      388    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      357    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      356    0.000    0.000    0.002    0.000 typing.py:789(<genexpr>)
      344    0.000    0.000    0.000    0.000 _compiler.py:431(_get_iscased)
