('Total Revenue', '416,161,000', '416,161,000', '391,035,000', '383,285,000', '394,328,000')
         943565 function calls (919115 primitive calls) in 7.878 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.000    0.000    0.027    0.002 css_parser.py:306(__init__)
        2    0.000    0.000    0.027    0.014 connection.py:1(<module>)
     4164    0.006    0.000    0.026    0.000 element.py:1813(__init__)
        1    0.000    0.000    0.024    0.024 _base_connection.py:1(<module>)
    37507    0.022    0.000    0.022    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.021    0.021 compat.py:1(<module>)
        1    0.020    0.020    0.020    0.020 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        1    0.000    0.000    0.020    0.020 client.py:1(<module>)
      220    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.018    0.018 ssl_.py:1(<module>)
        3    0.000    0.000    0.017    0.006 element.py:3024(find_all)
        3    0.000    0.000    0.017    0.006 element.py:1266(_find_all)
        3    0.000    0.000    0.017    0.006 filter.py:163(find_all)
       39    0.003    0.000    0.017    0.000 filter.py:130(filter)
      216    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
      216    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
     4163    0.010    0.000    0.016    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
      168    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
        1    0.000    0.000    0.015    0.015 url.py:1(<module>)
        1    0.000    0.000    0.015    0.015 css_parser.py:326(__init__)
      168    0.014    0.000    0.014    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.014    0.014 socket.py:960(getaddrinfo)
        1    0.014    0.014    0.014    0.014 {built-in method _socket.getaddrinfo}
        2    0.000    0.000    0.013    0.006 parser.py:1(<module>)
       16    0.000    0.000    0.012    0.001 css_parser.py:1149(process_selectors)
    56/16    0.001    0.000    0.012    0.001 css_parser.py:925(parse_selectors)
      490    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
        1    0.000    0.000    0.012    0.012 shutil.py:1(<module>)
      260    0.000    0.000    0.011    0.000 response.py:619(_decode)
    96370    0.011    0.000    0.011    0.000 {method 'append' of 'list' objects}
        2    0.000    0.000    0.011    0.005 api.py:1(<module>)
        3    0.000    0.000    0.011    0.004 utils.py:1(<module>)
      259    0.003    0.000    0.011    0.000 response.py:137(decompress)
     3976    0.004    0.000    0.010    0.000 __init__.py:870(object_was_parsed)
     4163    0.003    0.000    0.010    0.000 parser.py:345(check_for_whole_start_tag)
     8175    0.003    0.000    0.010    0.000 filter.py:726(match)
    29781    0.007    0.000    0.010    0.000 _parser.py:167(__getitem__)
76459/70129    0.008    0.000    0.010    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.009    0.009 bz2.py:1(<module>)
        1    0.000    0.000    0.009    0.009 feedparser.py:1(<module>)
        1    0.000    0.000    0.009    0.009 cookiejar.py:1(<module>)
      168    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
    44/32    0.000    0.000    0.009    0.000 css_parser.py:579(parse_pseudo_class)
     4162    0.004    0.000    0.009    0.000 __init__.py:953(_popToTag)
    40/31    0.000    0.000    0.009    0.000 css_parser.py:746(parse_pseudo_open)
        3    0.000    0.000    0.009    0.003 __init__.py:71(import_module)
        1    0.000    0.000    0.009    0.009 compat.py:30(_resolve_char_detection)
        3    0.000    0.000    0.009    0.003 <frozen importlib._bootstrap>:1375(_gcd_import)
        3    0.000    0.000    0.009    0.003 utils.py:755(should_bypass_proxies)
    16571    0.005    0.000    0.008    0.000 _markupbase.py:44(updatepos)
        2    0.000    0.000    0.008    0.004 utils.py:816(get_environ_proxies)
        3    0.000    0.000    0.008    0.003 request.py:2674(proxy_bypass)
        1    0.000    0.000    0.008    0.008 _policybase.py:1(<module>)
        3    0.000    0.000    0.008    0.003 request.py:2660(proxy_bypass_macosx_sysconf)
        1    0.000    0.000    0.008    0.008 sessions.py:750(merge_environment_settings)
65136/65126    0.007    0.000    0.008    0.000 {built-in method builtins.isinstance}
      912    0.005    0.000    0.008    0.000 _compiler.py:241(_optimize_charset)
9094/9070    0.003    0.000    0.008    0.000 typing.py:426(inner)
     3976    0.004    0.000    0.007    0.000 element.py:1478(__new__)
      198    0.001    0.000    0.007    0.000 _compiler.py:514(_compile_info)
      258    0.007    0.000    0.007    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     8535    0.002    0.000    0.007    0.000 {built-in method builtins.next}
      168    0.007    0.000    0.007    0.000 {built-in method _io.open_code}
        1    0.000    0.000    0.007    0.007 cd.py:1(<module>)
    16895    0.004    0.000    0.007    0.000 _parser.py:260(get)
 5516/389    0.005    0.000    0.007    0.000 _parser.py:177(getwidth)
        3    0.007    0.002    0.007    0.002 {built-in method _scproxy._get_proxy_settings}
     9633    0.002    0.000    0.007    0.000 __init__.py:122(unescape)
     4180    0.002    0.000    0.007    0.000 filter.py:540(matches_tag)
    12116    0.006    0.000    0.006    0.000 element.py:382(setup)
        1    0.000    0.000    0.006    0.006 socket.py:1(<module>)
        1    0.000    0.000    0.006    0.006 ssl.py:1(<module>)
    21564    0.006    0.000    0.006    0.000 {method 'group' of 're.Match' objects}
    12490    0.006    0.000    0.006    0.000 {method 'search' of 're.Pattern' objects}
      186    0.000    0.000    0.006    0.000 _parser.py:97(closegroup)
      967    0.002    0.000    0.005    0.000 {method 'sub' of 're.Pattern' objects}
     3976    0.003    0.000    0.005    0.000 __init__.py:735(string_container)
4694/4664    0.004    0.000    0.005    0.000 {built-in method __new__ of type object at 0x105e2c0f8}
     4164    0.003    0.000    0.005    0.000 __init__.py:812(pushTag)
